# Time-averaged data for fix myat5
# TimeStep v_Evdwl
0 -20.9314
200 -15.6887
400 -16.6426
600 -16.0607
800 -14.2906
1000 -15.4106
1200 -16.5582
1400 -14.6418
1600 -15.4885
1800 -15.5032
2000 -15.5301
2200 -15.7896
2400 -15.741
2600 -15.3051
2800 -15.6268
3000 -15.8908
3200 -15.8646
3400 -14.5467
3600 -14.5458
3800 -15.976
4000 -15.05
4200 -15.53
4400 -14.7049
4600 -15.2944
4800 -14.5376
5000 -16.0457
5200 -14.2651
5400 -14.6876
5600 -16.1013
5800 -15.7394
6000 -16.1469
6200 -14.363
6400 -14.2565
6600 -13.1893
6800 -15.5197
7000 -14.1222
7200 -15.6508
7400 -15.6151
7600 -15.6958
7800 -13.8884
8000 -14.0141
8200 -16.1207
8400 -15.8481
8600 -14.979
8800 -16.4292
9000 -14.7731
9200 -15.7238
9400 -15.9536
9600 -15.2491
9800 -16.6854
10000 -14.5874
10200 -16.2214
10400 -14.5577
10600 -14.4198
10800 -16.3687
11000 -15.4388
11200 -14.7875
11400 -14.0735
11600 -15.8069
11800 -15.8146
12000 -15.3421
12200 -15.5248
12400 -14.0893
12600 -15.4099
12800 -14.5866
13000 -15.8028
13200 -14.3338
13400 -15.2258
13600 -15.8948
13800 -14.9717
14000 -14.2983
14200 -16.3784
14400 -15.6591
14600 -15.4978
14800 -15.7679
15000 -15.0878
15200 -15.4395
15400 -15.949
15600 -14.7895
15800 -15.053
16000 -15.9749
16200 -14.8123
16400 -14.9617
16600 -13.5165
16800 -15.1192
17000 -15.213
17200 -15.3725
17400 -14.7538
17600 -14.2676
17800 -15.4098
18000 -15.2302
18200 -14.661
18400 -16.4293
18600 -16.1903
18800 -16.2833
19000 -16.825
19200 -14.1778
19400 -15.0514
19600 -16.3288
19800 -14.8051
20000 -14.3044
