# Time-averaged data for fix myat3
# TimeStep v_Etot
0 -12.9927
200 -8.39528
400 -7.19866
600 -6.73268
800 -7.01856
1000 -7.05721
1200 -6.41243
1400 -6.0217
1600 -5.81961
1800 -6.80029
2000 -6.89361
2200 -6.81481
2400 -7.01217
2600 -6.69163
2800 -7.11922
3000 -7.24837
3200 -6.7749
3400 -6.62988
3600 -6.97098
3800 -7.0913
4000 -6.91157
4200 -7.23833
4400 -7.48712
4600 -7.16889
4800 -6.91814
5000 -6.99349
5200 -7.28526
5400 -6.75505
5600 -7.05929
5800 -6.71579
6000 -6.85657
6200 -7.12681
6400 -6.66886
6600 -7.00371
6800 -6.41937
7000 -6.28608
7200 -6.64636
7400 -6.65016
7600 -6.98595
7800 -7.16233
8000 -6.47491
8200 -7.26688
8400 -6.46962
8600 -7.48791
8800 -6.89474
9000 -6.81498
9200 -7.05931
9400 -6.77244
9600 -7.24491
9800 -6.52806
10000 -6.69666
10200 -7.36059
10400 -6.38334
10600 -7.02476
10800 -6.41136
11000 -7.56551
11200 -6.9208
11400 -7.01044
11600 -6.68437
11800 -7.16395
12000 -7.71495
12200 -6.92897
12400 -6.70146
12600 -6.7469
12800 -6.45802
13000 -6.94704
13200 -6.71875
13400 -6.04612
13600 -6.4437
13800 -6.77649
14000 -6.9847
14200 -6.59826
14400 -7.1794
14600 -6.92285
14800 -6.30335
15000 -6.67172
15200 -6.7943
15400 -6.41757
15600 -6.75008
15800 -7.00858
16000 -6.78379
16200 -6.75416
16400 -6.65016
16600 -6.59663
16800 -6.83184
17000 -7.12684
17200 -7.54166
17400 -6.12848
17600 -7.36214
17800 -7.12631
18000 -6.9893
18200 -6.49787
18400 -6.519
18600 -6.77238
18800 -7.22092
19000 -6.8623
19200 -6.63817
19400 -7.06426
19600 -7.20464
19800 -6.51662
20000 -6.79669
