# Time-averaged data for fix myat9
# TimeStep v_density
0 0.0449025
200 0.0449025
400 0.0449025
600 0.0449025
800 0.0449025
1000 0.0449025
1200 0.0449025
1400 0.0449025
1600 0.0449025
1800 0.0449025
2000 0.0449025
2200 0.0449025
2400 0.0449025
2600 0.0449025
2800 0.0449025
3000 0.0449025
3200 0.0449025
3400 0.0449025
3600 0.0449025
3800 0.0449025
4000 0.0449025
4200 0.0449025
4400 0.0449025
4600 0.0449025
4800 0.0449025
5000 0.0449025
5200 0.0449025
5400 0.0449025
5600 0.0449025
5800 0.0449025
6000 0.0449025
6200 0.0449025
6400 0.0449025
6600 0.0449025
6800 0.0449025
7000 0.0449025
7200 0.0449025
7400 0.0449025
7600 0.0449025
7800 0.0449025
8000 0.0449025
8200 0.0449025
8400 0.0449025
8600 0.0449025
8800 0.0449025
9000 0.0449025
9200 0.0449025
9400 0.0449025
9600 0.0449025
9800 0.0449025
10000 0.0449025
10200 0.0449025
10400 0.0449025
10600 0.0449025
10800 0.0449025
11000 0.0449025
11200 0.0449025
11400 0.0449025
11600 0.0449025
11800 0.0449025
12000 0.0449025
12200 0.0449025
12400 0.0449025
12600 0.0449025
12800 0.0449025
13000 0.0449025
13200 0.0449025
13400 0.0449025
13600 0.0449025
13800 0.0449025
14000 0.0449025
14200 0.0449025
14400 0.0449025
14600 0.0449025
14800 0.0449025
15000 0.0449025
15200 0.0449025
15400 0.0449025
15600 0.0449025
15800 0.0449025
16000 0.0449025
16200 0.0449025
16400 0.0449025
16600 0.0449025
16800 0.0449025
17000 0.0449025
17200 0.0449025
17400 0.0449025
17600 0.0449025
17800 0.0449025
18000 0.0449025
18200 0.0449025
18400 0.0449025
18600 0.0449025
18800 0.0449025
19000 0.0449025
19200 0.0449025
19400 0.0449025
19600 0.0449025
19800 0.0449025
20000 0.0449025
