# Time-averaged data for fix myat3
# TimeStep v_Etot
0 -15.0036
200 -10.4996
400 -9.43617
600 -8.15051
800 -7.84881
1000 -8.21108
1200 -7.8302
1400 -8.22678
1600 -8.44299
1800 -8.96234
2000 -8.75723
2200 -8.38311
2400 -7.84343
2600 -7.94939
2800 -8.27853
3000 -9.08733
3200 -8.89931
3400 -8.95845
3600 -8.97641
3800 -8.83825
4000 -8.13225
4200 -8.16014
4400 -8.2876
4600 -7.90753
4800 -8.09347
5000 -8.17698
5200 -8.5519
5400 -8.64106
5600 -8.43354
5800 -8.43662
6000 -8.69343
6200 -8.40508
6400 -8.92196
6600 -8.75836
6800 -8.45253
7000 -8.51958
7200 -8.8048
7400 -7.93453
7600 -8.46596
7800 -8.84821
8000 -8.15025
8200 -8.79407
8400 -8.56802
8600 -8.35536
8800 -8.44138
9000 -8.15407
9200 -8.47113
9400 -8.93664
9600 -8.68031
9800 -8.35352
10000 -8.83787
10200 -8.9559
10400 -8.47218
10600 -7.78178
10800 -8.26596
11000 -8.692
11200 -8.60096
11400 -8.53928
11600 -7.94123
11800 -8.09062
12000 -8.65763
12200 -8.64888
12400 -8.10234
12600 -8.54209
12800 -8.81154
13000 -8.50215
13200 -8.76999
13400 -8.5332
13600 -9.16202
13800 -8.81711
14000 -8.07853
14200 -8.87373
14400 -9.24544
14600 -8.61071
14800 -8.74865
15000 -9.13896
15200 -7.98899
15400 -8.68104
15600 -8.4625
15800 -8.4484
16000 -8.72844
16200 -8.47355
16400 -8.0445
16600 -8.36551
16800 -8.42108
17000 -8.53527
17200 -8.64509
17400 -8.71651
17600 -8.60195
17800 -8.384
18000 -8.58985
18200 -8.52433
18400 -7.7221
18600 -9.11764
18800 -9.03739
19000 -8.60408
19200 -7.85848
19400 -8.28024
19600 -8.4813
19800 -7.91079
20000 -8.43335
